2017-09-13T11:29:58+08:00	60
2017-09-13T11:30:59+08:00	60
2017-09-13T11:32:01+08:00	59
2017-09-13T11:37:45+08:00	57
2017-09-13T11:37:49+08:00	53
2017-09-13T11:37:54+08:00	48
2017-09-13T11:38:03+08:00	39
2017-09-13T11:44:57+08:00	57
2017-09-13T11:46:00+08:00	60
2017-09-13T11:47:01+08:00	60
2017-09-13T11:48:03+08:00	60
2017-09-13T14:31:37+08:00	56
2017-09-13T14:32:40+08:00	60
2017-09-13T14:33:41+08:00	60
2017-09-13T14:34:44+08:00	60
2017-09-13T17:07:28+08:00	60
2017-09-13T17:08:32+08:00	60
2017-09-13T17:09:38+08:00	60
2017-09-13T17:10:43+08:00	60
2017-09-13T17:11:47+08:00	60
2017-09-13T17:12:53+08:00	60
